disease_id,disease_name,crop_name,scientific_name,disease_type,severity_level,description,symptoms,affected_parts,cause,favorable_conditions,yield_impact,treatment,organic_treatment,chemical_treatment,application_instructions,preventive_measures,monitoring_actions
KD001,Potato Early Blight,Potato,Alternaria solani,Fungal,High,"Potato Early Blight is a fungal disease that affects potato leaves stems and tubers causing dark brown lesions and yield loss","Dark brown circular spots;Concentric rings;Yellowing leaves;Premature leaf drop","Leaves;Stem;Tuber","Alternaria solani infection","Warm temperatures;High humidity;Wet foliage;Frequent rainfall","20-50% yield reduction","Use recommended fungicides and remove infected plant debris","Neem oil spray;Compost tea;Removal of infected leaves","Mancozeb;Chlorothalonil","Apply every 7-10 days during favorable disease conditions","Crop rotation;Disease-free seed tubers;Field sanitation;Adequate spacing","Inspect weekly;Monitor lower leaves;Remove infected material"
KD002,Potato Late Blight,Potato,Phytophthora infestans,Oomycete,Critical,"Potato Late Blight is a highly destructive disease that affects potato foliage stems and tubers causing rapid plant collapse and severe yield losses","Water-soaked leaf spots;Dark brown lesions;White fungal growth under humid conditions;Stem lesions;Tuber rot","Leaves;Stem;Tuber","Phytophthora infestans infection","Cool temperatures;High humidity;Rainfall;Wet foliage","30-100% yield reduction","Remove infected plants and apply recommended fungicides","Copper-based sprays;Field sanitation","Chlorothalonil;Mefenoxam;Dimethomorph","Apply according to label recommendations and repeat during favorable conditions","Use certified seed tubers;Crop rotation;Destroy volunteer plants;Proper sanitation","Inspect fields weekly;Monitor humid areas;Remove infected plants immediately"
KD003,Tomato Early Blight,Tomato,Alternaria solani,Fungal,High,"Tomato Early Blight is a fungal disease that causes leaf lesions defoliation and reduced fruit production","Dark brown spots;Concentric target-like rings;Yellow leaf tissue;Leaf drop","Leaves;Stem;Fruit","Alternaria solani infection","Warm temperatures;High humidity;Rainy weather","20-50% yield reduction","Apply fungicides and remove infected foliage","Neem oil spray;Compost tea;Sanitation","Mancozeb;Chlorothalonil","Apply every 7-10 days during disease-conducive conditions","Crop rotation;Mulching;Avoid overhead irrigation","Inspect lower leaves weekly;Remove infected leaves"
KD004,Tomato Late Blight,Tomato,Phytophthora infestans,Oomycete,Critical,"Tomato Late Blight is a rapidly spreading disease that can destroy entire tomato crops under favorable conditions","Water-soaked lesions;Brown blotches;White growth under leaves;Fruit rot","Leaves;Stem;Fruit","Phytophthora infestans infection","Cool temperatures;High humidity;Extended leaf wetness","30-100% yield reduction","Apply approved fungicides and remove infected plants","Copper sprays;Field sanitation","Chlorothalonil;Dimethomorph","Apply preventively during outbreaks and wet weather","Plant resistant varieties;Ensure airflow;Remove infected debris","Scout weekly;Monitor weather conditions;Remove infected plants immediately"
KD005,Tomato Bacterial Spot,Tomato,Xanthomonas spp.,Bacterial,High,"Tomato Bacterial Spot causes leaf spots defoliation and fruit blemishes reducing market quality","Small dark leaf spots;Yellow halos;Leaf yellowing;Fruit lesions","Leaves;Stem;Fruit","Xanthomonas bacterial infection","Warm temperatures;High humidity;Rain splash","10-50% yield reduction","Use disease-free seed and apply bactericides","Copper-based organic products","Copper bactericides","Apply according to label directions during disease development","Use certified seed;Avoid overhead watering;Field sanitation","Inspect leaves regularly;Remove heavily infected plants"
KD006,Tomato Leaf Mold,Tomato,Passalora fulva,Fungal,Medium,"Tomato Leaf Mold is a fungal disease common in humid environments especially greenhouses","Yellow spots on upper leaf surface;Olive-green mold on leaf underside;Leaf curling","Leaves","Passalora fulva infection","High humidity;Poor air circulation;Moderate temperatures","10-40% yield reduction","Improve ventilation and apply fungicides if necessary","Neem oil spray;Remove infected leaves","Chlorothalonil;Copper fungicides","Apply when symptoms first appear and repeat if needed","Reduce humidity;Increase plant spacing;Improve airflow","Inspect greenhouse crops regularly;Remove infected foliage"
KD007,Tomato Septoria Leaf Spot,Tomato,Septoria lycopersici,Fungal,High,"Tomato Septoria Leaf Spot is a fungal disease that primarily affects leaves and can cause severe defoliation reducing fruit yield","Small circular spots;Dark borders;Gray centers;Yellowing leaves;Leaf drop","Leaves","Septoria lycopersici infection","Warm temperatures;High humidity;Frequent rainfall;Wet foliage","20-50% yield reduction","Apply fungicides and remove infected leaves","Neem oil spray;Compost tea;Removal of infected foliage","Chlorothalonil;Mancozeb","Apply every 7-10 days during favorable conditions","Crop rotation;Field sanitation;Avoid overhead irrigation","Inspect lower leaves weekly;Remove infected leaves promptly"
KD008,Tomato Target Spot,Tomato,Corynespora cassiicola,Fungal,High,"Tomato Target Spot causes leaf lesions fruit spots and defoliation reducing crop productivity","Brown lesions;Concentric rings;Leaf yellowing;Fruit spots","Leaves;Fruit","Corynespora cassiicola infection","Warm humid conditions;Extended leaf wetness","10-40% yield reduction","Apply fungicides and remove infected debris","Neem oil spray;Sanitation practices","Chlorothalonil;Azoxystrobin","Apply according to disease pressure and label recommendations","Improve air circulation;Remove crop debris;Crop rotation","Inspect foliage regularly;Monitor disease spread"
KD009,Tomato Mosaic Virus,Tomato,Tomato mosaic virus,Viral,High,"Tomato Mosaic Virus affects plant growth and fruit quality causing characteristic mosaic patterns on leaves","Mosaic leaf pattern;Leaf distortion;Stunted growth;Reduced fruit quality","Leaves;Entire Plant","Tomato mosaic virus infection","Contaminated tools;Infected plant material;Mechanical transmission","10-30% yield reduction","Remove infected plants and prevent spread","Use disease-free seed;Maintain sanitation","No effective chemical cure available","Remove infected plants immediately and disinfect tools","Use resistant varieties;Avoid handling plants when wet","Inspect plants frequently;Remove symptomatic plants"
KD010,Tomato Yellow Leaf Curl Virus,Tomato,Tomato yellow leaf curl virus,Viral,Critical,"Tomato Yellow Leaf Curl Virus is a severe viral disease that causes stunting and major yield losses","Leaf curling;Yellow leaves;Stunted growth;Reduced flowering","Leaves;Entire Plant","Virus transmitted primarily by whiteflies","Warm temperatures;High whitefly populations","20-100% yield reduction","Control whiteflies and remove infected plants","Neem oil spray;Yellow sticky traps","Imidacloprid;Approved insecticides for vector control","Follow label recommendations and focus on whitefly management","Use resistant varieties;Control weeds;Protect seedlings","Monitor whitefly populations weekly;Remove infected plants"
