pest_id,pest_name,scientific_name,pest_type,crops_affected,description,damage_symptoms,damage_severity,favorable_conditions,organic_control,chemical_control,prevention_measures,monitoring_actions
PST001,Ants,Formicidae,Pest,Multiple Crops,"Ants can protect sap-sucking insects such as aphids and may disturb seedlings causing indirect crop damage","Seedling disturbance;Presence around aphids;Soil mounds",Low,"Warm weather;Dry conditions","Destroy nests;Use sticky barriers;Encourage natural predators","Approved ant baits when necessary","Field sanitation;Remove aphid infestations","Inspect seedling areas;Monitor ant colonies"
PST002,Bees,Anthophila,Beneficial Insect,Multiple Crops,"Bees are important pollinators and generally should not be controlled","No direct crop damage;Pollination activity",Beneficial,"Flowering crops;Warm daylight conditions","Protect bee habitats","Avoid pesticide application during bee activity","Plant flowering borders;Reduce harmful pesticide exposure","Monitor pollinator activity"
PST003,Beetles,Coleoptera,Pest,Vegetables and Field Crops,"Certain beetle species feed on leaves stems roots and fruits causing economic damage","Leaf holes;Defoliation;Root damage","Medium","Warm temperatures;Active growing season","Hand collection;Neem oil treatment","Approved insecticides when infestation exceeds threshold","Crop rotation;Field sanitation","Inspect foliage regularly;Monitor feeding damage"
PST004,Caterpillars,Lepidoptera Larvae,Pest,Vegetables and Field Crops,"Caterpillars are among the most destructive crop pests and feed directly on leaves flowers and fruits","Chewed leaves;Defoliation;Fruit damage;Frass deposits","High","Warm temperatures;Active breeding season","Bacillus thuringiensis (Bt);Hand removal","Spinosad;Approved insecticides","Remove egg masses;Encourage natural predators","Inspect leaves weekly;Monitor larval populations"
PST005,Earthworms,Lumbricina,Beneficial Organism,Multiple Crops,"Earthworms improve soil aeration nutrient cycling and soil structure and should be protected","No crop damage;Improved soil health",Beneficial,"Moist organic-rich soils","Protect habitat and soil quality","No chemical control required","Avoid excessive pesticide use;Maintain organic matter","Monitor soil health indicators"
PST006,Earwigs,Dermaptera,Pest,Vegetables and Fruit Crops,"Earwigs feed on seedlings leaves flowers and fruits causing minor to moderate crop damage","Chewed leaves;Damaged seedlings;Fruit feeding marks","Medium","Moist conditions;Dense vegetation","Traps;Hand collection;Encourage predators","Approved insecticides if necessary","Remove hiding places;Field sanitation","Inspect crops at night;Monitor shelters"
PST007,Grasshoppers,Caelifera,Pest,Field Crops and Vegetables,"Grasshoppers consume large amounts of foliage and can rapidly damage crops during outbreaks","Defoliation;Chewed leaves;Reduced plant vigor","High","Hot dry weather","Biological control agents;Hand collection","Approved insecticides during severe infestations","Weed control;Field monitoring","Scout fields regularly;Monitor population density"
PST008,Moths,Lepidoptera,Pest,Multiple Crops,"Adult moths may lay eggs that develop into damaging larvae feeding on crops","Egg masses;Larval damage;Leaf feeding","Medium","Warm weather;Active breeding season","Light traps;Biological control","Approved insecticides targeting larvae","Remove crop residues;Monitor egg laying","Use pheromone traps;Inspect crops regularly"
PST009,Slugs,Gastropoda,Pest,Vegetables and Horticultural Crops,"Slugs feed on leaves stems and fruits especially in moist environments","Irregular holes;Slime trails;Seedling damage","High","Cool moist weather","Beer traps;Hand collection;Natural predators","Slug baits where permitted","Reduce moisture;Remove debris","Inspect fields during early morning and evening"
PST010,Snails,Gastropoda,Pest,Vegetables and Horticultural Crops,"Snails damage leaves seedlings and fruits causing economic losses in susceptible crops","Chewed foliage;Slime trails;Seedling destruction","High","Moist humid conditions","Hand collection;Traps","Molluscicides where approved","Field sanitation;Moisture management","Monitor after rainfall and irrigation"
PST011,Wasps,Vespidae,Beneficial Insect,Multiple Crops,"Many wasp species are natural enemies of agricultural pests and help biological control","No direct crop damage;Predation of pest insects","Beneficial","Warm weather;Flowering environments","Protect natural populations","Avoid unnecessary pesticide applications","Provide flowering plants and habitat","Monitor beneficial insect activity"
PST012,Weevils,Curculionidae,Pest,Stored Products and Field Crops,"Weevils damage seeds grains roots and plant tissues causing yield and storage losses","Seed damage;Root feeding;Plant wilting","High","Warm temperatures;Stored grain environments","Sanitation;Biological control methods","Approved insecticides when thresholds are exceeded","Crop rotation;Storage hygiene","Inspect crops and storage facilities regularly"
PST013,Earthworms,Lumbricina,Beneficial Organism,Multiple Crops,"Earthworms improve soil structure aeration and nutrient cycling and are generally beneficial for crop production","No crop damage;Improved soil quality","Beneficial","Moist organic-rich soil","Protect earthworm populations","Avoid unnecessary pesticide use","Maintain organic matter;Reduce soil disturbance","Monitor soil health and earthworm activity"
PST014,Earwigs,Dermaptera,Pest,Vegetables and Fruit Crops,"Earwigs can feed on leaves flowers and fruits causing minor to moderate crop damage","Chewed leaves;Damaged flowers;Fruit feeding marks","Medium","Moist environments;Dense vegetation","Traps;Hand collection","Approved insecticides when necessary","Field sanitation;Reduce hiding places","Inspect crops regularly at night"
